Country,Count
,0
Bangladesh,3
Luxembourg,1
Czech Republic,1
Sweden,18
Cambodia,1
Ireland,45
Singapore,26
Portugal,1
Colombia,2
Saudi Arabia,5
Ukraine,3
"Iran, Islamic Republic of",2
Slovakia,1
Israel,4
Malaysia,6
Kenya,6
"Taiwan, Province of China",8
Bosnia and Herzegovina,1
Cyprus,1
Nigeria,7
China,706
Australia,91
United Arab Emirates,5
Belgium,7
Thailand,2
United Kingdom,103
Germany,122
Canada,555
Egypt,13
Greece,12
South Africa,19
Peru,1
Japan,107
Macao,1
New Zealand,30
Norway,47
Pakistan,7
Brazil,9
Guatemala,2
"Venezuela, Bolivarian Republic of",2
Morocco,6
Mexico,2
Poland,6
Lebanon,1
Indonesia,2
Viet Nam,7
Jordan,2
Sri Lanka,5
Finland,18
Cuba,2
France,70
Madagascar,1
Hong Kong,5
Philippines,3
United States,1373
Turkey,1
Zimbabwe,3
Belarus,1
Netherlands,78
Spain,9
Italy,9
Argentina,14
India,105
Estonia,4
"Korea, Republic of",9
Denmark,10
Switzerland,9
Hungary,5
Russian Federation,7
Romania,9
Austria,30
Lithuania,5
Bulgaria,7
Croatia,2
