Country,Count
,0
Bangladesh,3
Czech Republic,6
Sweden,29
Ireland,101
Singapore,54
Portugal,15
Colombia,4
Saudi Arabia,4
Ukraine,10
Slovakia,3
Israel,35
Kenya,3
Malaysia,10
"Taiwan, Province of China",13
Bosnia and Herzegovina,3
Cyprus,1
Nigeria,12
China,365
Qatar,3
Australia,88
Serbia,1
United Arab Emirates,7
Georgia,5
Belgium,10
Thailand,7
United Kingdom,146
Germany,243
Canada,185
Barbados,1
Azerbaijan,1
Egypt,5
Greece,10
South Africa,6
Peru,2
Japan,137
New Zealand,22
Ecuador,2
Norway,45
Pakistan,2
Brazil,20
Yemen,1
Tunisia,5
Morocco,3
Mexico,12
Poland,15
Lebanon,1
Indonesia,25
Viet Nam,4
Jordan,1
Sri Lanka,20
Finland,10
France,108
Hong Kong,7
Philippines,4
United States,2249
Turkey,11
Belarus,1
Netherlands,98
Mauritius,1
Bahrain,2
Spain,21
Italy,30
Oman,1
Argentina,5
India,363
Estonia,6
"Korea, Republic of",13
Denmark,14
Mongolia,1
Switzerland,29
Hungary,1
Côte d'Ivoire,3
Botswana,1
Russian Federation,29
Romania,15
Austria,6
Lithuania,1
"Moldova, Republic of",4
Bulgaria,4
Croatia,1
Nepal,1
