Country,Count
,0
Luxembourg,1
Czech Republic,1
Sweden,14
Dominican Republic,3
Cambodia,1
Ireland,18
Singapore,11
Portugal,1
Albania,1
Ukraine,10
"Iran, Islamic Republic of",9
Slovakia,1
Israel,1
Malaysia,4
"Taiwan, Province of China",1
Cyprus,1
China,139
Australia,20
Serbia,1
United Arab Emirates,9
Belgium,5
Thailand,1
United Kingdom,55
Germany,101
Canada,256
Egypt,3
Greece,6
Chile,1
South Africa,1
Japan,22
New Zealand,1
Norway,6
Brazil,10
Sudan,1
Morocco,1
Poland,2
Indonesia,8
Viet Nam,5
Jordan,2
Sri Lanka,1
Finland,11
France,25
Hong Kong,2
United States,651
Turkey,10
Netherlands,54
Angola,1
Spain,6
Italy,3
Argentina,1
India,24
Estonia,1
"Korea, Republic of",3
Denmark,4
Switzerland,8
Honduras,2
Russian Federation,8
Romania,5
Bulgaria,3
Croatia,1
