Country,Count
Australia,11
Austria,2
Belgium,4
Brazil,14
Canada,48
China,21
Czech Republic,1
Denmark,1
Finland,6
France,22
Germany,38
Ghana,1
Hong Kong,3
Hungary,1
India,29
Indonesia,3
Ireland,2
Japan,7
Kenya,1
"Korea, Republic of",1
Netherlands,59
New Zealand,2
Norway,3
Qatar,1
Russian Federation,3
Singapore,4
South Africa,2
Spain,7
Sri Lanka,1
Sweden,1
Switzerland,8
Syrian Arab Republic,1
Turkey,1
Ukraine,1
United Kingdom,49
United States,477
Viet Nam,2
,0
