Country,Count
,0
Luxembourg,4
Czech Republic,7
Sweden,7
Cambodia,3
Ireland,22
Singapore,16
Portugal,2
Colombia,1
Saudi Arabia,4
Ukraine,7
"Iran, Islamic Republic of",2
Israel,11
Malaysia,8
Kenya,7
Zambia,2
"Taiwan, Province of China",1
Bosnia and Herzegovina,2
Nigeria,1
China,801
Australia,49
United Arab Emirates,5
Belgium,9
Thailand,6
Uruguay,1
United Kingdom,166
Germany,102
Canada,302
Slovenia,2
Greece,1
Egypt,3
Chile,1
South Africa,8
Peru,3
Japan,39
New Zealand,1
Norway,19
Pakistan,3
Brazil,2
Ethiopia,1
South Sudan,1
Morocco,4
Myanmar,1
Mexico,13
Poland,4
Indonesia,2
Viet Nam,1
Uganda,3
Finland,4
France,51
Hong Kong,2
Philippines,3
United States,1082
Turkey,4
Netherlands,140
Spain,10
Italy,6
Oman,1
Argentina,3
India,124
"Korea, Republic of",4
Denmark,1
Trinidad and Tobago,1
Switzerland,12
Hungary,4
Russian Federation,23
Romania,7
Austria,6
Bulgaria,3
