Country,Count
Australia,16
Austria,7
Belgium,23
Brazil,7
Bulgaria,1
Canada,49
China,7
Czech Republic,1
Denmark,4
Finland,5
France,14
Germany,39
Hong Kong,1
India,17
Indonesia,3
"Iran, Islamic Republic of",1
Ireland,5
Italy,3
Japan,16
Kenya,3
Lithuania,2
Malaysia,9
Mexico,2
Netherlands,16
New Zealand,8
Norway,5
Poland,2
Portugal,1
Romania,2
Russian Federation,3
Saudi Arabia,2
Singapore,1
Slovakia,12
South Africa,2
Spain,1
Sweden,2
Switzerland,7
Turkey,6
Ukraine,3
United Kingdom,46
United States,325
Viet Nam,7
,0
